family,scope,count,mean,min,p10,p25,p50,p75,p90,p95,max
x_mark,positive,11,0.55018,0.38264,0.4574,0.5225,0.5608,0.58433,0.65993,0.65993,0.65993
x_mark,family_negative,126,0.29221,0.04861,0.11069,0.1478,0.24932,0.43035,0.48894,0.58074,0.68503
x_mark,none_of_the_above,88,0.3005,0.04861,0.06844,0.18155,0.27246,0.45751,0.48894,0.48894,0.59189
play_triangle,positive,1,0.34482,0.34482,0.34482,0.34482,0.34482,0.34482,0.34482,0.34482,0.34482
play_triangle,family_negative,136,0.1548,0.01435,0.02723,0.06137,0.13282,0.24104,0.34031,0.35532,0.4112
play_triangle,none_of_the_above,88,0.17753,0.01435,0.02812,0.0812,0.16868,0.27824,0.35532,0.35532,0.40208
google_play,positive,3,0.42988,0.36066,0.36555,0.37288,0.3851,0.46449,0.51213,0.52801,0.54389
google_play,family_negative,134,0.15049,0.00445,0.03067,0.07161,0.11879,0.2361,0.28335,0.30079,0.42088
google_play,none_of_the_above,88,0.16848,0.00445,0.02904,0.07823,0.1641,0.28123,0.28335,0.29772,0.33364
next,positive,2,0.59979,0.59979,0.59979,0.59979,0.59979,0.59979,0.59979,0.59979,0.59979
next,family_negative,135,0.22891,0.0289,0.06978,0.11066,0.19007,0.31424,0.44637,0.51987,0.76289
next,none_of_the_above,88,0.20894,0.0289,0.05279,0.0941,0.19951,0.31424,0.42447,0.42447,0.46259
free,positive,9,0.71216,0.70629,0.71157,0.71289,0.71289,0.71289,0.71289,0.71289,0.71289
free,family_negative,128,0.2258,0.01311,0.06165,0.09317,0.20033,0.29662,0.42135,0.51013,0.66098
free,none_of_the_above,88,0.23754,0.01311,0.05765,0.11625,0.25533,0.36942,0.43436,0.51013,0.51013
got,positive,14,0.29297,0.21117,0.25895,0.27216,0.28462,0.32032,0.33584,0.34511,0.36227
got,family_negative,123,0.14299,0.00423,0.03492,0.06327,0.09315,0.22274,0.25119,0.43485,0.43485
got,none_of_the_above,88,0.14914,0.00857,0.0378,0.07145,0.09042,0.22274,0.31667,0.43485,0.43485
arrow,positive,11,0.5338,0.1854,0.31403,0.42046,0.55939,0.67866,0.71938,0.73884,0.7583
arrow,family_negative,126,0.20023,0.00424,0.01296,0.0988,0.15929,0.31278,0.49525,0.49525,0.70678
arrow,none_of_the_above,88,0.18975,0.00424,0.01116,0.05486,0.13302,0.31278,0.49525,0.49525,0.498
